QSM Env:/work/qsm/qsm-go$ go tool pprof --text m3space.test cprof
File: m3space.test
Type: cpu
Time: Mar 4, 2019 at 12:20pm (EST)
Duration: 33.89s, Total samples = 50.86s (150.09%)
Showing nodes accounting for 46.51s, 91.45% of 50.86s total
Dropped 230 nodes (cum <= 0.25s)
     0.38s  0.75% 77.23%      7.41s 14.57%  runtime.gcDrain
     0.35s  0.69% 77.92%      0.36s  0.71%  sync.(*Mutex).Unlock
     0.34s  0.67% 78.59%      0.40s  0.79%  runtime.stkbucket
     0.33s  0.65% 79.24%      1.38s  2.71%  time.NewTimer
     0.30s  0.59% 79.83%      1.09s  2.14%  github.com/freddy33/qsm-go/m3space.(*ActiveNode).ConvertToSaved
     0.29s  0.57% 80.40%      0.29s  0.57%  runtime.markBits.isMarked (inline)
     0.29s  0.57% 80.97%      0.29s  0.57%  runtime.pthread_mutex_lock
     0.28s  0.55% 81.52%      0.45s  0.88%  github.com/freddy33/qsm-go/m3space.makeNewPossibleOutgrowth
     0.28s  0.55% 82.07%      0.66s  1.30%  runtime.makechan
     0.28s  0.55% 82.62%      0.32s  0.63%  runtime.mapiternext
     0.25s  0.49% 83.11%     14.13s 27.78%  github.com/freddy33/qsm-go/m3space.(*NewPossibleOutgrowth).realize
     0.24s  0.47% 83.58%      5.52s 10.85%  github.com/freddy33/qsm-go/m3space.(*SavedNode).GetStateString
     0.23s  0.45% 84.03%      3.01s  5.92%  github.com/freddy33/qsm-go/m3space.(*Space).GetNode (inline)
     0.22s  0.43% 84.47%      1.78s  3.50%  sync.(*Pool).Get
     0.21s  0.41% 84.88%     14.82s 29.14%  github.com/freddy33/qsm-go/m3space.(*Space).realizeAllOutgrowth
     0.19s  0.37% 85.25%      0.31s  0.61%  github.com/freddy33/qsm-go/m3space.(*ActiveNode).IsAlreadyConnected
     0.19s  0.37% 85.63%      0.45s  0.88%  github.com/freddy33/qsm-go/m3space.NewActiveNode
     0.19s  0.37% 86.00%      0.27s  0.53%  runtime.(*hmap).newoverflow
     0.19s  0.37% 86.37%      0.31s  0.61%  runtime.getitab
     0.17s  0.33% 86.71%      0.31s  0.61%  fmt.(*fmt).fmtInteger
     0.17s  0.33% 87.04%      0.39s  0.77%  github.com/freddy33/qsm-go/m3space.(*Event).moveNewOutgrowthsToLatest
     0.17s  0.33% 87.38%      0.49s  0.96%  github.com/freddy33/qsm-go/m3space.MakeActiveOutgrowth
     0.17s  0.33% 87.71%      0.30s  0.59%  runtime.evacuate
     0.13s  0.26% 87.97%      3.36s  6.61%  fmt.(*pp).doPrintf
     0.13s  0.26% 88.22%      3.21s  6.31%  fmt.(*pp).printArg
     0.13s  0.26% 88.48%      4.29s  8.43%  github.com/freddy33/qsm-go/m3space.(*Connection).IsOld
     0.12s  0.24% 88.71%      1.63s  3.20%  fmt.(*pp).printValue
     0.10s   0.2% 88.91%      5.56s 10.93%  github.com/freddy33/qsm-go/m3space.(*OutgrowthCollectorStatSameEvent).realizeSameEvent
     0.10s   0.2% 89.11%      1.66s  3.26%  github.com/freddy33/qsm-go/m3space.(*Space).getOrCreateNode
     0.09s  0.18% 89.28%      0.29s  0.57%  runtime.mapaccess1
     0.08s  0.16% 89.44%      8.70s 17.11%  runtime.findrunnable
     0.08s  0.16% 89.60%      0.28s  0.55%  runtime.mapdelete
     0.08s  0.16% 89.76%      0.73s  1.44%  runtime.memhash_varlen
     0.07s  0.14% 89.89%      0.74s  1.45%  runtime.memhash
     0.06s  0.12% 90.01%      1.49s  2.93%  fmt.(*pp).handleMethods
     0.06s  0.12% 90.13%      0.90s  1.77%  reflect.packEface
     0.06s  0.12% 90.25%      0.37s  0.73%  runtime.assertE2I2
     0.05s 0.098% 90.35%      0.78s  1.53%  github.com/freddy33/qsm-go/m3space.(*Space).getAndActivateNode
     0.04s 0.079% 90.42%      1.01s  1.99%  github.com/freddy33/qsm-go/m3space.(*FullOutgrowthCollector).addNewEo
     0.04s 0.079% 90.50%      0.94s  1.85%  reflect.valueInterface
     0.04s 0.079% 90.58%      6.22s 12.23%  runtime.runqgrab
     0.04s 0.079% 90.66%      1.45s  2.85%  runtime.selectgo
     0.03s 0.059% 90.72%      0.34s  0.67%  fmt.(*pp).fmtInteger
     0.03s 0.059% 90.78%      5.07s  9.97%  fmt.Sprintf
     0.03s 0.059% 90.84%      0.42s  0.83%  reflect.unsafe_New
     0.02s 0.039% 90.88%      1.36s  2.67%  github.com/freddy33/qsm-go/m3space.(*Space).makeConnection
     0.02s 0.039% 90.92%      3.98s  7.83%  github.com/freddy33/qsm-go/m3space.(*Space).processNewOutgrowth
     0.02s 0.039% 90.96%         1s  1.97%  github.com/freddy33/qsm-go/m3space.Point.String
     0.02s 0.039% 90.99%      0.96s  1.89%  reflect.Value.Interface
     0.02s 0.039% 91.03%      0.86s  1.69%  runtime.chansend1
     0.02s 0.039% 91.07%      0.58s  1.14%  runtime.convT2E64
     0.02s 0.039% 91.11%      0.66s  1.30%  runtime.convT2Enoptr
     0.02s 0.039% 91.15%      9.03s 17.75%  runtime.schedule
     0.02s 0.039% 91.19%      2.25s  4.42%  runtime.semasleep
     0.02s 0.039% 91.23%     13.53s 26.60%  runtime.systemstack
     0.01s  0.02% 91.25%      3.60s  7.08%  github.com/freddy33/qsm-go/m3space.(*EventOutgrowth).String
     0.01s  0.02% 91.27%      3.96s  7.79%  runtime.(*mcentral).cacheSpan
     0.01s  0.02% 91.29%      2.29s  4.50%  runtime.(*mcentral).grow
     0.01s  0.02% 91.31%      0.74s  1.45%  runtime.(*mheap).allocSpanLocked
     0.01s  0.02% 91.33%      0.86s  1.69%  runtime.(*mheap).alloc_m
     0.01s  0.02% 91.35%      0.85s  1.67%  runtime.chansend
     0.01s  0.02% 91.37%      0.42s  0.83%  runtime.mProf_Malloc
     0.01s  0.02% 91.39%      0.31s  0.61%  runtime.resetspinning
     0.01s  0.02% 91.41%      1.85s  3.64%  runtime.slicebytetostring
     0.01s  0.02% 91.43%      0.26s  0.51%  runtime.timerproc
     0.01s  0.02% 91.45%      0.56s  1.10%  runtime.typedmemmove
