Type: cpu
Time: Jul 4, 2019 at 6:48pm (IDT)
Duration: 32.96s, Total samples = 70.95s (215.29%)
Showing nodes accounting for 66.05s, 93.09% of 70.95s total
Dropped 207 nodes (cum <= 0.35s)
         0     0% 93.09%      3.57s  5.03%  runtime.(*mcache).refill
         0     0% 93.09%      3.57s  5.03%  runtime.(*mcentral).cacheSpan
         0     0% 93.09%      3.20s  4.51%  runtime.(*mcentral).grow
         0     0% 93.09%      2.63s  3.71%  runtime.(*mheap).alloc
         0     0% 93.09%      0.99s  1.40%  runtime.(*mheap).alloc.func1
         0     0% 93.09%      0.81s  1.14%  runtime.(*mheap).allocSpanLocked
         0     0% 93.09%      0.99s  1.40%  runtime.(*mheap).alloc_m
         0     0% 93.09%      0.43s  0.61%  runtime.convT2Enoptr
         0     0% 93.09%      1.29s  1.82%  runtime.gcAssistAlloc
         0     0% 93.09%      1.29s  1.82%  runtime.gcAssistAlloc.func1
         0     0% 93.09%     16.84s 23.74%  runtime.gcBgMarkWorker
         0     0% 93.09%      2.37s  3.34%  runtime.goready.func1
         0     0% 93.09%      1.71s  2.41%  runtime.growWork
         0     0% 93.09%      0.63s  0.89%  runtime.handoff
         0     0% 93.09%      0.65s  0.92%  runtime.heapBits.initSpan
         0     0% 93.09%      3.12s  4.40%  runtime.makeslice
         0     0% 93.09%     20.50s 28.89%  runtime.mcall
         0     0% 93.09%      3.33s  4.69%  runtime.mstart
         0     0% 93.09%      5.47s  7.71%  runtime.newobject
         0     0% 93.09%      0.64s   0.9%  runtime.newproc.func1
         0     0% 93.09%      0.64s   0.9%  runtime.newproc1
         0     0% 93.09%      3.72s  5.24%  runtime.notewakeup
         0     0% 93.09%      0.84s  1.18%  runtime.osyield
         0     0% 93.09%     20.20s 28.47%  runtime.park_m
         0     0% 93.09%      2.37s  3.34%  runtime.ready
         0     0% 93.09%     20.50s 28.89%  runtime.schedule
         0     0% 93.09%      7.48s 10.54%  runtime.semasleep
         0     0% 93.09%      3.74s  5.27%  runtime.semawakeup
         0     0% 93.09%      3.71s  5.23%  runtime.startm
         0     0% 93.09%      7.48s 10.54%  runtime.stopm
         0     0% 93.09%      3.70s  5.21%  runtime.wakep
         0     0% 93.09%      0.57s   0.8%  sync.runtime_Semrelease
         0     0% 93.09%      1.09s  1.54%  sync.runtime_nanotime
         0     0% 93.09%     10.30s 14.52%  testing.(*B).run1.func1
         0     0% 93.09%     10.62s 14.97%  testing.(*B).runN
